-9.926167350636332e-24,3.3087224502121107e-23,1.6543612251060553e-23
8.75632007967358e-8,2.545052535452312e-7,2.0438198892811265e-7
1.9611914408808757e-7,4.6924370570514236e-7,3.8313977860105925e-7
1.9726071771045737e-7,3.031669343227224e-7,3.6384811789071504e-7
1.6631486165039662e-7,1.180449708297523e-7,2.842841423167302e-7
1.8724787920516164e-7,1.9130476878632092e-7,3.258312097978986e-7
1.53150474359707e-7,2.0099925445002533e-7,3.461184789066847e-7
1.6034833103202019e-7,2.416753524816538e-7,3.281155721612918e-7
1.7174803547246305e-7,2.7404474718404665e-7,3.342278183707608e-7
1.87442486556396e-7,2.829020358154231e-7,3.342081722019289e-7
1.817864988121807e-7,2.825477018832178e-7,3.1283900807821305e-7
1.819498443184703e-7,2.7426871509765277e-7,3.099325451356477e-7
1.709390022901686e-7,2.657754439278515e-7,3.28673946151283e-7
1.6658388485980568e-7,2.6855012167828616e-7,3.2957716591775327e-7
1.6074256198927812e-7,2.6812437669965063e-7,3.4311734708020087e-7
1.7149632130030824e-7,2.563550403209054e-7,3.429551366496377e-7
1.6144432493274025e-7,2.454677493858852e-7,3.3484425524560004e-7
1.601937911373272e-7,2.2635199218761318e-7,3.2267313302620445e-7
1.4983663415501954e-7,2.2829733331523386e-7,3.1398474610898156e-7
1.3051041506948245e-7,2.243878435897825e-7,3.061569576703289e-7
1.1718970470274946e-7,2.2232234833647366e-7,3.1966861467624395e-7
1.0570592965094025e-7,2.1727763665954035e-7,3.1899244189872254e-7
8.316024325905086e-8,2.1891595901949312e-7,3.08596303251143e-7
7.541030373839079e-8,2.0920228690353103e-7,2.9870558903798344e-7
6.534251606754881e-8,1.9491564785049531e-7,2.881771336463638e-7
6.368082708438573e-8,1.8850670936939373e-7,2.8408540093553385e-7
6.137195669537259e-8,1.715598238548082e-7,2.9199225255313695e-7
5.835822463510385e-8,1.6838189348690317e-7,2.846992451922961e-7
5.1452472267720137e-8,1.6089414931800788e-7,2.6410541329087253e-7
5.0086717428655994e-8,1.4933952141420424e-7,2.525204351985564e-7
4.6569110670675645e-8,1.1955929595970178e-7,2.400008386092023e-7
5.216562554547554e-8,1.0630294203840905e-7,2.4134252839630017e-7
4.4320040464575385e-8,8.650580797552979e-8,2.31146029745039e-7
4.326411495546969e-8,8.395278577701679e-8,2.1367690241249248e-7
4.7721012950691415e-8,7.566230337306365e-8,1.963301396956764e-7
5.058628767963609e-8,7.577692846471684e-8,1.7351420708919396e-7
4.611484270142638e-8,6.727805694638415e-8,1.5049135296383744e-7
3.894295525643912e-8,6.436013102639671e-8,1.4551074179946355e-7
2.8699857060606617e-8,6.09972665331946e-8,1.2402230032000532e-7
NaN,NaN,NaN
2.682064451323876e-8,5.46523323873038e-8,1.0499945156473655e-7
NaN,NaN,NaN
3.38499001589399e-8,5.132546969810022e-8,9.531488138373549e-8
NaN,NaN,NaN
3.856135894899814e-8,5.2083660045163396e-8,7.811576597358277e-8
NaN,NaN,NaN
3.7213882786225074e-8,4.4410982027018876e-8,7.258716965210076e-8
NaN,NaN,NaN
3.0973813110399614e-8,4.564290732354002e-8,7.122321882278474e-8
NaN,NaN,NaN
2.4422867015966343e-8,4.356335954813961e-8,6.963463891100176e-8
NaN,NaN,NaN
2.1099502904860158e-8,4.659503950266827e-8,6.817880120666611e-8
NaN,NaN,NaN
2.2849102912820568e-8,4.877475806006958e-8,6.53866479233863e-8
NaN,NaN,NaN
3.2848150208628376e-8,4.883623976788338e-8,6.327842000551403e-8
NaN,NaN,NaN
4.208609133667991e-8,4.913101906353861e-8,6.493573768898891e-8
NaN,NaN,NaN
3.97318564991754e-8,5.128454392432481e-8,6.113575764319558e-8
NaN,NaN,NaN
2.8672660936072408e-8,4.941169103510212e-8,5.421189996525824e-8
NaN,NaN,NaN
1.7119814738712952e-8,4.9840119138774314e-8,5.424074827380115e-8
NaN,NaN,NaN
1.6386323971291958e-8,3.650024149988856e-8,5.1619136559035694e-8
NaN,NaN,NaN
3.650024149988857e-8,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
NaN,NaN,NaN
